Gender,Age Group,Industry,Work Experience in your current job,Which of the following social media do you mostly access while at work? (indicate more than one where applicable),Which devices do you use to access social media sites while at work ? (indicate more than one where applicable),Frequency of social media usage while at work,"If you are a daily user, how often do you access social media sites while at work ","Usually, How much time do you spend on social media sites with each log in",Why do you use the social media for (indicate more than one where applicable),I almost always perform better than an accepted level,I often manage workload during office hours,I often Choose to take on additional tasks at work,The Quality of my work is Top-grade,I often introduce innovative approaches to traditional work practices
Male,26 - 30 years,IT,more than 5 years,Facebook;WhatsApp;Viber;LinkedIn;YouTube,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time;To find solutions to job queries,1,1,2,2,1
Female,26 - 30 years,IT,1-3 Years,Facebook;Instagram;YouTube,Laptop;Smart Phone,Daily,Once a Day,1-5 minutes,For news and general information;To find solutions to job queries,4,4,4,4,4
Female,26 - 30 years,IT,3-5 years,Facebook;Viber;Twitter,Laptop,Daily,Once a Day,1-5 minutes,Others,4,4,4,4,4
Female,26 - 30 years,IT,3-5 years,Facebook;Instagram;WhatsApp;Twitter,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;Others,5,5,5,5,5
Female,26 - 30 years,IT,1-3 Years,Facebook;WhatsApp;Viber;Google+;YouTube,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,For entertainment and to kill time,5,3,3,4,3
Female,31 - 35 years,IT,3-5 years,Facebook;Instagram;WhatsApp;Viber;Twitter;LinkedIn;Google+;YouTube,Laptop;Smart Phone,Daily,Within every hour,more than 10 minutes,To keep in touch with friends;For news and general information;To find solutions to job queries,5,5,4,5,4
Female,26 - 30 years,IT,1-3 Years,Facebook;Twitter;YouTube,Laptop,Daily,Within every hour,more than 10 minutes,To find solutions to job queries,4,4,4,4,4
Female,26 - 30 years,IT,3-5 years,Facebook;Instagram;WhatsApp;Viber;Twitter;LinkedIn;Google+;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information;For entertainment and to kill time,4,4,4,4,4
Male,26 - 30 years,IT,more than 5 years,Facebook;LinkedIn;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;To build business contacts,4,5,4,4,5
Female,Less than 25,IT,Less than 1 year,Facebook;Instagram;WhatsApp;Twitter;Google+;YouTube,Laptop;Smart Phone,Daily,Within every hour,more than 10 minutes,To keep in touch with friends;To find solutions to job queries,3,5,3,3,3
Female,26 - 30 years,IT,3-5 years,Facebook,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,For news and general information,5,5,4,5,4
Female,Less than 25,IT,1-3 Years,Facebook;Instagram;WhatsApp,Smart Phone,Daily,Within every hour,Less than a minute,To keep in touch with friends;For news and general information;For entertainment and to kill time,4,5,3,4,3
Female,26 - 30 years,IT,Less than 1 year,Facebook;Instagram;WhatsApp;LinkedIn;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,3,4,3
Male,Less than 25,IT,1-3 Years,Instagram;WhatsApp;LinkedIn;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information,2,4,2,5,1
Female,26 - 30 years,IT,1-3 Years,Facebook;Viber;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,4,5,3,4,4
Female,26 - 30 years,IT,3-5 years,Facebook;Instagram;WhatsApp;Viber;Twitter;LinkedIn;Google+;YouTube,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information;Others,3,3,3,3,3
Male,31 - 35 years,IT,more than 5 years,Facebook,Laptop,Daily,more than 5 times,more than 10 minutes,For news and general information;For entertainment and to kill time,3,3,3,3,4
Male,Less than 25,Apparel,1-3 Years,Facebook;Instagram;WhatsApp,Smart Phone,Daily,more than 5 times,Less than a minute,To keep in touch with friends;For news and general information;For entertainment and to kill time,2,2,3,2,2
Female,31 - 35 years,IT,more than 5 years,Facebook;Google+,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For news and general information,3,3,3,3,3
Male,31 - 35 years,IT,more than 5 years,Facebook;WhatsApp,Smart Phone,Once a Week,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;To find solutions to job queries,4,4,4,5,4
Female,Less than 25,Apparel,1-3 Years,Facebook;Instagram;WhatsApp;YouTube,Laptop,Daily,Once a Day,1-5 minutes,To keep in touch with friends;For news and general information,3,3,3,3,3
Female,31 - 35 years,Apparel,more than 5 years,Facebook;WhatsApp;Viber;Others,Laptop;Smart Phone,Daily,more than 5 times,6-10 minutes,To keep in touch with friends;To find solutions to job queries,5,5,5,5,5
Male,26 - 30 years,Apparel,Less than 1 year,Facebook;WhatsApp;Twitter;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For news and general information;To find solutions to job queries,3,3,3,4,4
Male,26 - 30 years,Apparel,Less than 1 year,Facebook,Smart Phone,Daily,2-4 times a day,Less than a minute,For news and general information,4,5,4,4,5
Male,31 - 35 years,Apparel,more than 5 years,WhatsApp;Viber;Twitter,Laptop;Smart Phone,Daily,Not Applicable,more than 10 minutes,Others,4,4,4,4,4
Male,Less than 25,Apparel,3-5 years,WhatsApp;LinkedIn;YouTube,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,For news and general information;To find solutions to job queries,4,4,3,3,4
Male,31 - 35 years,IT,3-5 years,WhatsApp,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends,3,3,3,3,3
Male,26 - 30 years,Apparel,3-5 years,Facebook;Instagram;WhatsApp;Viber;LinkedIn;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,Less than a minute,To keep in touch with friends;To build business contacts;For news and general information,4,5,3,4,5
Male,26 - 30 years,Apparel,Less than 1 year,Instagram;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,To keep in touch with friends;To build business contacts;To find solutions to job queries,4,4,4,4,4
Male,26 - 30 years,Apparel,3-5 years,Facebook;WhatsApp;LinkedIn,Smart Phone,Daily,more than 5 times,Less than a minute,To keep in touch with friends;For news and general information,4,4,4,4,5
Female,26 - 30 years,Apparel,1-3 Years,Facebook;Instagram;WhatsApp,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,4,4,4
Male,26 - 30 years,IT,3-5 years,WhatsApp,Smart Phone,Daily,more than 5 times,Less than a minute,To keep in touch with friends,3,4,5,4,4
Female,31 - 35 years,Apparel,more than 5 years,WhatsApp;Viber,Smart Phone,Daily,Within every hour,1-5 minutes,For news and general information;For entertainment and to kill time,4,4,2,3,1
Female,26 - 30 years,Apparel,3-5 years,Facebook;WhatsApp,Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends,4,4,4,4,4
Male,26 - 30 years,Apparel,1-3 Years,Facebook;Instagram;WhatsApp,Smart Phone,Daily,Within every hour,Less than a minute,For news and general information,4,4,3,3,4
Female,26 - 30 years,Apparel,3-5 years,Facebook;Instagram;WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,4,4,3,3,2
Female,26 - 30 years,Apparel,1-3 Years,Facebook,Smart Phone,Daily,2-4 times a day,1-5 minutes,For news and general information,4,5,4,4,4
Male,26 - 30 years,Apparel,1-3 Years,Facebook;Instagram;WhatsApp;LinkedIn,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,4,3,3,3,4
Male,26 - 30 years,Apparel,Less than 1 year,Facebook;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends,4,3,5,4,4
Male,26 - 30 years,Apparel,3-5 years,YouTube,Laptop,Once a Week,2-4 times a day,6-10 minutes,To keep in touch with friends,4,2,4,4,3
Male,26 - 30 years,Apparel,Less than 1 year,Facebook;Instagram;WhatsApp,Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For news and general information,4,3,2,4,3
Male,31 - 35 years,Apparel,more than 5 years,Facebook;Instagram;WhatsApp;Viber;Twitter;LinkedIn;Google+;YouTube,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time;To find solutions to job queries,4,3,3,3,3
Male,Less than 25,Apparel,1-3 Years,Facebook;Instagram;WhatsApp;LinkedIn,Laptop;Smart Phone,Daily,2-4 times a day,Less than a minute,To build business contacts;For news and general information,4,5,1,5,5
Male,36 -40 years,IT,more than 5 years,Facebook;Google+;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,more than 10 minutes,To keep in touch with friends;For news and general information,4,5,4,4,2
Male,31 - 35 years,Apparel,more than 5 years,Facebook;WhatsApp;Viber;LinkedIn,Smart Phone,Daily,2-4 times a day,Less than a minute,For news and general information,4,3,4,3,4
Male,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,For news and general information,5,5,5,4,5
Male,36 -40 years,Apparel,more than 5 years,Facebook;WhatsApp;Viber;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;Others,4,3,3,3,3
Female,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,For news and general information,4,5,1,4,4
Female,26 - 30 years,Apparel,Less than 1 year,Facebook;WhatsApp;Viber;Google+,Laptop;Smart Phone,Once a Week,Once a Day,6-10 minutes,To keep in touch with friends;Others,5,5,4,4,3
Male,31 - 35 years,Apparel,more than 5 years,Facebook,Smart Phone,Daily,Once a Day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,2,4,4
Male,31 - 35 years,Apparel,more than 5 years,Instagram;WhatsApp;LinkedIn,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For entertainment and to kill time,4,2,4,4,4
Female,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,4,5,3,4,3
Male,36 -40 years,Apparel,more than 5 years,Facebook;WhatsApp;Viber;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;Others,4,2,3,4,3
Female,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;Viber,Smart Phone,Daily,more than 5 times,Not Applicable,To keep in touch with friends;To build business contacts,3,2,3,3,3
Female,31 - 35 years,Apparel,more than 5 years,Instagram;WhatsApp;Google+;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,For news and general information;For entertainment and to kill time;To find solutions to job queries,4,4,4,3,3
Male,31 - 35 years,Banking,more than 5 years,Facebook;WhatsApp;Viber;YouTube;Others,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts,5,5,5,4,4
Male,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;YouTube,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,2,3,3
Male,31 - 35 years,Apparel,3-5 years,Facebook;Instagram;WhatsApp,Laptop;Smart Phone,Daily,Once a Day,1-5 minutes,To keep in touch with friends;For news and general information,5,4,4,4,4
Female,26 - 30 years,Apparel,Less than 1 year,Google+,Laptop,Once a Week,Not Applicable,Not Applicable,For news and general information,3,3,4,4,4
Male,31 - 35 years,Apparel,more than 5 years,Facebook;Instagram;YouTube,Smart Phone,Daily,Once a Day,Less than a minute,For news and general information;To find solutions to job queries,4,4,4,5,4
Male,31 - 35 years,Apparel,more than 5 years,WhatsApp;Viber,Smart Phone,Daily,more than 5 times,Less than a minute,Others,4,4,4,4,4
Male,26 - 30 years,Apparel,3-5 years,YouTube,Not Applicable,Daily,2-4 times a day,6-10 minutes,For news and general information;For entertainment and to kill time,4,3,3,4,3
Female,26 - 30 years,Apparel,Less than 1 year,Instagram;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,To keep in touch with friends,3,4,3,3,3
Male,26 - 30 years,Apparel,Less than 1 year,Facebook;Instagram;WhatsApp;YouTube,Smart Phone,Daily,more than 5 times,6-10 minutes,To keep in touch with friends;Others,3,2,4,4,2
Male,26 - 30 years,Apparel,Less than 1 year,Facebook;Instagram;WhatsApp,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,3,3,3,3,4
Male,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To build business contacts;For news and general information;For entertainment and to kill time,3,4,4,4,3
Female,Less than 25,Apparel,Less than 1 year,Facebook;WhatsApp,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time;To find solutions to job queries,4,5,3,5,5
Male,31 - 35 years,Apparel,more than 5 years,WhatsApp;Viber;LinkedIn;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,6-10 minutes,For news and general information;To find solutions to job queries,4,4,2,3,3
Female,Less than 25,Apparel,1-3 Years,WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends,5,5,4,4,4
Male,26 - 30 years,Apparel,3-5 years,Facebook;WhatsApp;Viber,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts,4,4,4,5,4
Female,26 - 30 years,Banking,3-5 years,Facebook;WhatsApp;Viber;Google+,Desktop;Smart Phone,Daily,Once a Day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,4,4,4
Male,Less than 25,Apparel,Less than 1 year,Instagram;WhatsApp;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For entertainment and to kill time,3,4,4,4,4
Female,Less than 25,Apparel,Less than 1 year,Instagram;WhatsApp;Viber;LinkedIn;YouTube,Desktop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information;For entertainment and to kill time;To find solutions to job queries,4,5,4,4,3
Female,26 - 30 years,Apparel,3-5 years,Facebook;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,For news and general information,4,5,5,4,4
Female,Less than 25,Apparel,Less than 1 year,Never use Social media while at work,Smart Phone,Once a month,Not Applicable,1-5 minutes,For entertainment and to kill time,3,4,2,3,3
Female,Less than 25,Apparel,Less than 1 year,WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,To keep in touch with friends;For news and general information;To find solutions to job queries,4,2,3,4,3
Male,26 - 30 years,Apparel,1-3 Years,Facebook;YouTube,Laptop,Daily,2-4 times a day,1-5 minutes,To build business contacts;For news and general information;To find solutions to job queries,3,4,4,4,5
Female,26 - 30 years,Apparel,3-5 years,Facebook;Instagram;WhatsApp;LinkedIn;YouTube,Smart Phone,Daily,Within every hour,Not Applicable,To keep in touch with friends;To build business contacts;For news and general information;For entertainment and to kill time,5,4,5,4,5
Male,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp,Smart Phone,Daily,Not Applicable,1-5 minutes,Others,3,4,4,3,4
Male,26 - 30 years,Banking,3-5 years,Facebook;Viber,Smart Phone,Daily,more than 5 times,6-10 minutes,To keep in touch with friends;To build business contacts;For news and general information;For entertainment and to kill time;To find solutions to job queries,5,1,3,5,3
Male,Less than 25,Apparel,Less than 1 year,Facebook;Instagram;WhatsApp,Smart Phone,Daily,2-4 times a day,1-5 minutes,For news and general information;To find solutions to job queries;Others,5,5,4,4,5
Male,Less than 25,Apparel,Less than 1 year,Facebook;Instagram;WhatsApp;Twitter;LinkedIn;YouTube,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information;To find solutions to job queries,3,4,4,3,2
Female,31 - 35 years,Banking,more than 5 years,Facebook;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,To keep in touch with friends,4,4,4,4,4
Male,26 - 30 years,IT,1-3 Years,Facebook;Instagram;WhatsApp;Viber;LinkedIn;YouTube,Laptop;Smart Phone,Daily,Within every hour,6-10 minutes,To keep in touch with friends;To build business contacts;For news and general information;For entertainment and to kill time,5,4,4,5,5
Male,31 - 35 years,IT,3-5 years,Facebook;Instagram;WhatsApp;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For news and general information,4,5,4,5,4
Male,26 - 30 years,Apparel,1-3 Years,Facebook,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,3,2,3,4,4
Male,31 - 35 years,Apparel,more than 5 years,Facebook;Instagram;WhatsApp;Viber;LinkedIn,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For news and general information;Others,5,3,4,4,4
Male,26 - 30 years,Banking,3-5 years,Facebook;WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,more than 10 minutes,To keep in touch with friends;To build business contacts;For news and general information,5,4,5,5,4
Female,26 - 30 years,IT,3-5 years,Facebook;Instagram;WhatsApp;Viber;Twitter;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,3,5,4,5,3
Female,Less than 25,Banking,Less than 1 year,WhatsApp,Smart Phone,Once a Week,Not Applicable,Less than a minute,To keep in touch with friends,3,3,4,2,4
Male,26 - 30 years,Banking,more than 5 years,Facebook;Instagram;WhatsApp,Smart Phone,Once a Week,Once a Day,1-5 minutes,For news and general information,3,3,2,3,3
Male,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;Viber;Twitter;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,6-10 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,4,3,2,4,4
Female,Less than 25,Apparel,3-5 years,Instagram;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,Others,4,5,5,5,4
Female,26 - 30 years,Banking,1-3 Years,Never use Social media while at work,Not Applicable,Never,Not Applicable,Not Applicable,Others,3,2,5,3,4
Female,26 - 30 years,Banking,more than 5 years,Facebook;Viber,Desktop,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information,5,4,5,5,4
Male,26 - 30 years,Banking,more than 5 years,Facebook,Smart Phone,Daily,2-4 times a day,1-5 minutes,For news and general information,5,3,4,5,4
Male,31 - 35 years,Apparel,more than 5 years,Facebook;Instagram;WhatsApp;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,3,2,2,4,4
Male,31 - 35 years,Apparel,more than 5 years,Facebook;WhatsApp;Viber;Google+;Others,Laptop;Smart Phone,Daily,2-4 times a day,6-10 minutes,To keep in touch with friends;For entertainment and to kill time;To find solutions to job queries;Others,4,5,4,3,4
Female,Less than 25,Apparel,Less than 1 year,WhatsApp;Google+;YouTube,Laptop;Smart Phone,Daily,Once a Day,1-5 minutes,To build business contacts;For news and general information,5,4,4,4,3
Female,31 - 35 years,IT,more than 5 years,Facebook,Laptop,Daily,more than 5 times,6-10 minutes,For entertainment and to kill time,3,4,2,3,3
Female,26 - 30 years,IT,more than 5 years,Facebook;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,3,4,4
Male,Less than 25,IT,Less than 1 year,Instagram;WhatsApp;LinkedIn;Others,Laptop;Smart Phone,Daily,2-4 times a day,6-10 minutes,To keep in touch with friends;For news and general information;To find solutions to job queries,4,5,4,4,4
Male,31 - 35 years,IT,more than 5 years,Facebook;LinkedIn;YouTube,Laptop;Smart Phone,Daily,Once a Day,6-10 minutes,To build business contacts;For news and general information,4,5,5,4,3
Female,26 - 30 years,Apparel,1-3 Years,WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,5,4,4
Female,26 - 30 years,IT,3-5 years,Facebook;Viber,Laptop;Smart Phone,Daily,more than 5 times,Less than a minute,To keep in touch with friends;For news and general information;For entertainment and to kill time,5,4,4,4,5
Female,26 - 30 years,IT,1-3 Years,Facebook;Twitter;Google+;YouTube,Laptop;Smart Phone;Tab or Ipad,Daily,2-4 times a day,6-10 minutes,To build business contacts;For news and general information;To find solutions to job queries,4,4,3,5,5
Male,26 - 30 years,IT,more than 5 years,Facebook;Instagram;WhatsApp;Viber,Smart Phone,Daily,more than 5 times,Less than a minute,To keep in touch with friends;To build business contacts,4,5,4,4,4
Female,26 - 30 years,IT,3-5 years,Instagram;WhatsApp;Viber;LinkedIn;YouTube,Laptop;Desktop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;To find solutions to job queries,4,4,4,4,4
Female,26 - 30 years,IT,1-3 Years,Facebook,Laptop,Daily,more than 5 times,6-10 minutes,To keep in touch with friends;For news and general information;Others,5,5,2,4,4
Male,26 - 30 years,IT,1-3 Years,Facebook;WhatsApp;Google+,Laptop;Smart Phone,Daily,Within every hour,6-10 minutes,To keep in touch with friends;For news and general information,4,4,3,4,4
Male,26 - 30 years,IT,1-3 Years,Facebook;Instagram;WhatsApp;Viber;LinkedIn;YouTube,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,5,5,1,4,5
Male,26 - 30 years,IT,1-3 Years,Facebook;WhatsApp;LinkedIn;YouTube,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information,4,4,3,4,3
Female,26 - 30 years,Banking,1-3 Years,Facebook;Instagram;WhatsApp;Viber;YouTube,Desktop;Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information,5,5,5,5,5
Male,over 40 years,IT,more than 5 years,Facebook;WhatsApp;LinkedIn;YouTube;Others,Laptop;Desktop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information;For entertainment and to kill time;To find solutions to job queries;Others,5,4,4,5,5
Female,31 - 35 years,IT,3-5 years,Facebook;WhatsApp;Viber,Laptop;Smart Phone,Daily,more than 5 times,6-10 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,4,5,4,4,4
Male,31 - 35 years,Apparel,more than 5 years,Facebook;Instagram;WhatsApp;Viber;YouTube,Smart Phone;Tab or Ipad,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For news and general information;To find solutions to job queries;Others,4,4,4,5,4
Male,26 - 30 years,IT,1-3 Years,WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,Others,4,3,3,4,4
Female,26 - 30 years,Apparel,3-5 years,Facebook;Instagram;WhatsApp;Viber;Google+;YouTube,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,For news and general information;For entertainment and to kill time;To find solutions to job queries,4,5,5,4,5
Female,26 - 30 years,IT,1-3 Years,WhatsApp;Google+,Laptop,Daily,2-4 times a day,Less than a minute,To keep in touch with friends,4,5,5,5,5
Female,26 - 30 years,IT,more than 5 years,Viber,Laptop;Smart Phone,Daily,2-4 times a day,more than 10 minutes,To keep in touch with friends,5,5,5,5,4
Female,26 - 30 years,IT,more than 5 years,WhatsApp,Desktop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information;To find solutions to job queries,3,4,4,4,3
Male,26 - 30 years,IT,3-5 years,Facebook;Viber;LinkedIn;YouTube,Laptop,Daily,2-4 times a day,6-10 minutes,To keep in touch with friends;To build business contacts;For news and general information,4,4,3,4,4
Female,26 - 30 years,IT,3-5 years,Never use Social media while at work,Not Applicable,Never,Not Applicable,more than 10 minutes,For news and general information,4,4,2,3,3
Female,26 - 30 years,Apparel,3-5 years,Facebook;YouTube;Others,Laptop;Smart Phone,Daily,2-4 times a day,6-10 minutes,For news and general information;Others,4,4,4,3,4
Male,26 - 30 years,IT,more than 5 years,Facebook;WhatsApp;Viber,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,4,4,3,4,4
Male,26 - 30 years,IT,more than 5 years,Facebook;WhatsApp,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,Others,4,4,3,4,5
Male,Less than 25,IT,3-5 years,Facebook;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,For news and general information,5,4,2,5,5
Male,26 - 30 years,IT,3-5 years,Facebook;WhatsApp;Viber;LinkedIn;YouTube,Smart Phone,Daily,Once a Day,Less than a minute,To keep in touch with friends;Others,4,2,2,4,4
Male,26 - 30 years,Banking,1-3 Years,Facebook;Instagram;WhatsApp,Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,3,2,1,4,1
Male,Less than 25,IT,Less than 1 year,Facebook;Instagram;WhatsApp;YouTube,Desktop;Smart Phone,Daily,Within every hour,6-10 minutes,To keep in touch with friends;For entertainment and to kill time,2,1,2,5,2
Female,31 - 35 years,Banking,more than 5 years,Never use Social media while at work,Not Applicable,Never,Not Applicable,Not Applicable,Others,5,4,5,5,4
Male,31 - 35 years,Banking,3-5 years,Facebook;WhatsApp,Smart Phone,Daily,more than 5 times,more than 10 minutes,To keep in touch with friends;For entertainment and to kill time,1,2,1,4,1
Male,31 - 35 years,Apparel,3-5 years,Never use Social media while at work,Not Applicable,Never,Not Applicable,Not Applicable,Others,5,4,5,5,4
Female,Less than 25,Banking,Less than 1 year,Facebook;Instagram;WhatsApp;Viber,Smart Phone,Daily,more than 5 times,6-10 minutes,To keep in touch with friends;Others,1,3,1,3,1
Male,31 - 35 years,Apparel,3-5 years,WhatsApp,Smart Phone,Daily,Once a Day,1-5 minutes,To keep in touch with friends,3,3,3,4,4
Male,31 - 35 years,Banking,3-5 years,Never use Social media while at work,Not Applicable,Never,Not Applicable,Not Applicable,Others,5,4,4,5,4
Female,26 - 30 years,Banking,1-3 Years,Facebook;WhatsApp,Smart Phone,Daily,more than 5 times,more than 10 minutes,To keep in touch with friends,4,1,2,1,1
Female,36 -40 years,Banking,more than 5 years,Others,Not Applicable,Daily,Not Applicable,Not Applicable,Others,5,4,5,5,5
Female,Less than 25,Banking,Less than 1 year,Facebook;Instagram;WhatsApp,Smart Phone,Daily,Within every hour,6-10 minutes,To keep in touch with friends;For news and general information,3,1,2,1,2
Male,31 - 35 years,Banking,more than 5 years,Facebook;WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,6-10 minutes,To keep in touch with friends;For news and general information,2,1,3,2,1
Female,Less than 25,Banking,1-3 Years,Facebook;WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For entertainment and to kill time,1,2,3,2,3
Male,over 40 years,IT,more than 5 years,Facebook;Instagram;WhatsApp;LinkedIn,Smart Phone,Once a month,Not Applicable,1-5 minutes,To keep in touch with friends;To build business contacts,4,5,4,5,4
